agreement_id,consultation_id,mechanism_type,consultation_forum,consultation_forum_other,consultation_agreement_forum,c_consultation_forum,party_consultation_referral,party_consultation_referral_third_party,c_party_consultation_referral,consultation_category,consultation_type,consultation_type_other,c_consultation_mechanism_type
140205,A,0,0,N/A,Standing Consutative Commission,"Ibid. S.C.C Common Understandings (Jun 06 1985): ""It will, if necessary, on a voluntary basis, also inform the other Party about the event or hold consultations with it within the framework of the Standing Consultative Commission, as provided for in Article XIII of the Treaty and paragraph 4 of the Regulations of the Standing Consultative Commission.""",0,N/A,N/A,0,0,N/A,"Ibid. S.C.C Common Understandings (Jun 06 1985): ""It will, if necessary, on a voluntary basis, also inform the other Party about the event or hold consultations with it within the framework of the Standing Consultative Commission, as provided for in Article XIII of the Treaty and paragraph 4 of the Regulations of the Standing Consultative Commission."""
010,A,0,1,N/A,N/A,"Ibid. Article I. If there should develop between any of the High Contracting Parties a controversy arising out of any Pacific question and involving their said rights which is not satisfactorily settled by diplomacy and is likely to affect the harmonious accord now happily subsisting between them, they shall invite the other High Contracting Parties to a joint conference to which the whole subject will be referred for consideration and adjustment.",0,N/A,N/A,1,6,N/A,"Ibid. Article I. If there should develop between any of the High Contracting Parties a controversy arising out of any Pacific question and involving their said rights which is not satisfactorily settled by diplomacy and is likely to affect the harmonious accord now happily subsisting between them, they shall invite the other High Contracting Parties to a joint conference to which the whole subject will be referred for consideration and adjustment."
020,A,0,0,N/A,Amendment Conference,"Ibid. Article XXI. If during the term of the present Treaty the requirements of the national security of any Contracting Power in respect of naval defence are, in the opinion of that Power, materially affected by any change of circumstances, the Contracting Powers will, at the request of such Power, meet in conference with a view to the reconsideration of the provisions of the Treaty and its amendment by mutual agreement.",0,N/A,N/A,0,2,N/A,"Ibid. Article XXI. If during the term of the present Treaty the requirements of the national security of any Contracting Power in respect of naval defence are, in the opinion of that Power, materially affected by any change of circumstances, the Contracting Powers will, at the request of such Power, meet in conference with a view to the reconsideration of the provisions of the Treaty and its amendment by mutual agreement."
020,B,0,0,N/A,Conference of all the Contracting Powers,"Ibid. Article XXI. In view of possible technical and scientific developments, the United States, after consultation with the other Contracting Powers, shall arrange for a conference of all the Contracting Powers which shall convene as soon as possible after the expiration of eight years from the coming into force of the present Treaty to consider what changes, if any, in the Treaty may be necessary to meet such developments.",0,N/A,N/A,0,4,N/A,"Ibid. Article XXI. In view of possible technical and scientific developments, the United States, after consultation with the other Contracting Powers, shall arrange for a conference of all the Contracting Powers which shall convene as soon as possible after the expiration of eight years from the coming into force of the present Treaty to consider what changes, if any, in the Treaty may be necessary to meet such developments."
020,C,0,1,N/A,N/A,"Ibid. Article XXII. Whenever any Contracting Power shall become engaged in a war which in its opinion affects the naval defence of its national security, such Power may after notice to the other Contracting Powers suspend for the period of hostilities its obligations under the present Treaty other than those under Articles XIII and XVII, provided that such Power shall notify the other Contracting Powers that the emergency is of such a character as to require such suspension.The remaining Contracting Powers shall in such case consult together with a view to agreement as to what temporary modifications if any should be made in the Treaty as between themselves. Should such consultation not produce agreement, duly made in accordance with the constitutional methods of the respective Powers, any one of said Contracting Powers may, by giving notice to the other Contracting Powers, suspend for the period of hostilities its obligations under the present Treaty, other than those under Articles XIII and XVII.",0,N/A,N/A,0,9,Postwar agreement modifications consultation,"Ibid. Article XXII. Whenever any Contracting Power shall become engaged in a war which in its opinion affects the naval defence of its national security, such Power may after notice to the other Contracting Powers suspend for the period of hostilities its obligations under the present Treaty other than those under Articles XIII and XVII, provided that such Power shall notify the other Contracting Powers that the emergency is of such a character as to require such suspension.The remaining Contracting Powers shall in such case consult together with a view to agreement as to what temporary modifications if any should be made in the Treaty as between themselves. Should such consultation not produce agreement, duly made in accordance with the constitutional methods of the respective Powers, any one of said Contracting Powers may, by giving notice to the other Contracting Powers, suspend for the period of hostilities its obligations under the present Treaty, other than those under Articles XIII and XVII."
025,A,0,1,N/A,N/A,"Article 35: ""The High Contracting Parties agree that disputes arising between them relating to the interpretation or application of this Convention shall, if they cannot be settled by direct negotiation, be referred for decision to the Permanent Court of International Justice. In case either or both of the States to such a dispute should not be parties to the Protocol of December 16th, 1920, relating to the Permanent Court of International Justice, the dispute shall be referred, at the choice of the Parties and in accordance with the constitutional procedure of each State, either to the Permanent Court of International Justice or to a court of arbitration constituted in accordance with the Hague Convention of October 18th, 1907, or to some other court of arbitration.""",1,Permanent Court of International Justice,"Article 35: ""The High Contracting Parties agree that disputes arising between them relating to the interpretation or application of this Convention shall, if they cannot be settled by direct negotiation, be referred for decision to the Permanent Court of International Justice. In case either or both of the States to such a dispute should not be parties to the Protocol of December 16th, 1920, relating to the Permanent Court of International Justice, the dispute shall be referred, at the choice of the Parties and in accordance with the constitutional procedure of each State, either to the Permanent Court of International Justice or to a court of arbitration constituted in accordance with the Hague Convention of October 18th, 1907, or to some other court of arbitration.""",1,6,N/A,"Article 35: ""The High Contracting Parties agree that disputes arising between them relating to the interpretation or application of this Convention shall, if they cannot be settled by direct negotiation, be referred for decision to the Permanent Court of International Justice. In case either or both of the States to such a dispute should not be parties to the Protocol of December 16th, 1920, relating to the Permanent Court of International Justice, the dispute shall be referred, at the choice of the Parties and in accordance with the constitutional procedure of each State, either to the Permanent Court of International Justice or to a court of arbitration constituted in accordance with the Hague Convention of October 18th, 1907, or to some other court of arbitration."""
0302,A,0,1,N/A,N/A,"Ibid. Article XXIV. (1) If any High Contracting Party should become engaged in war, such High Contracting Party may, if he considers the naval requirements of his defence are materially affected, suspend, in so far as he is concerned, any or all of the obligations of the present Treaty, provided that he shall promptly notify the other High Contracting Parties that the circumstances require such suspension, and shall specify the obligations it is considered necessary to suspend.(2) The other High Contracting Parties shall in such case promptly consult together, and shall examine the situation thus presented with a view to agreeing as to the obligations of the present Treaty, if any, which each of the said High Contracting Parties may suspend. Should such consultation not produce agreement, any of the said High Contracting Parties may suspend, in so far as he is concerned, any or all of the obligations of the present Treaty, provided that he shall promptly give notice to the other High Contracting Parties of the obligations which it is considered necessary to suspend.(3) On the cessation of hostilities, the High Contracting Parties shall consult together with a view to fixing a date upon which the obligations of the Treaty which have been suspended shall again become operative, and to agreeing upon any amendments in the present Treaty which may be considered necessary.",0,N/A,N/A,1,9,Exception consultation,"Ibid. Article XXIV. (1) If any High Contracting Party should become engaged in war, such High Contracting Party may, if he considers the naval requirements of his defence are materially affected, suspend, in so far as he is concerned, any or all of the obligations of the present Treaty, provided that he shall promptly notify the other High Contracting Parties that the circumstances require such suspension, and shall specify the obligations it is considered necessary to suspend.(2) The other High Contracting Parties shall in such case promptly consult together, and shall examine the situation thus presented with a view to agreeing as to the obligations of the present Treaty, if any, which each of the said High Contracting Parties may suspend. Should such consultation not produce agreement, any of the said High Contracting Parties may suspend, in so far as he is concerned, any or all of the obligations of the present Treaty, provided that he shall promptly give notice to the other High Contracting Parties of the obligations which it is considered necessary to suspend.(3) On the cessation of hostilities, the High Contracting Parties shall consult together with a view to fixing a date upon which the obligations of the Treaty which have been suspended shall again become operative, and to agreeing upon any amendments in the present Treaty which may be considered necessary."
0302,B,0,1,N/A,N/A,Ibid. Article XXV. (3) The High Contracting Parties shall thereupon consult together and endeavour to reach an agreement with a view to reducing to a minimum the extent of the departures which may be made.,0,N/A,N/A,1,9,Exception consultation,Ibid. Article XXV. (3) The High Contracting Parties shall thereupon consult together and endeavour to reach an agreement with a view to reducing to a minimum the extent of the departures which may be made.
0302,C,0,1,N/A,N/A,"Ibid. Article XXVI. (2) Such High Contracting Party shall, if he desires to exercise the abovementioned right, notify all the other High Contracting Parties to that effect, stating in what respects he proposes to depart from his Annual Programmes of construction and declarations of acquisition, giving reasons for the proposed departure.(3) The High Contracting Parties will thereupon consult together with a view to agreement as to whether any departures are necessary in order to meet the situation.",0,N/A,N/A,1,9,Withdrawal consultation,"Ibid. Article XXVI. (2) Such High Contracting Party shall, if he desires to exercise the abovementioned right, notify all the other High Contracting Parties to that effect, stating in what respects he proposes to depart from his Annual Programmes of construction and declarations of acquisition, giving reasons for the proposed departure.(3) The High Contracting Parties will thereupon consult together with a view to agreement as to whether any departures are necessary in order to meet the situation."
040,A,0,1,N/A,N/A,"Ibid. Article IX. Disputes between the Contracting Parties relating to the interpretation, application or fulfilment of the present Convention, including those relating to the responsibility of a State for genocide or for any of the other acts enumerated in article III, shall be submitted to the International Court of Justice at the request of any of the parties to the dispute.",1,N/A,N/A,1,6,N/A,"Ibid. Article IX. Disputes between the Contracting Parties relating to the interpretation, application or fulfilment of the present Convention, including those relating to the responsibility of a State for genocide or for any of the other acts enumerated in article III, shall be submitted to the International Court of Justice at the request of any of the parties to the dispute."
